provincia_canton,poblacion_15_mas,tasa_participacion,tasa_ocupacion,tasa_desempleo,porcentaje_inactiva,relacion_dependencia,sector_primario,sector_secundario,sector_terciario
Alvarado,10696,53,52.2,1.5,47,1.5,43.5,14.4,42.1
Oreamuno,34110,53.9,52.4,2.8,46.1,1.5,20.1,20.3,59.6
El Guarco,31292,55.1,53.3,3.3,44.9,1.4,12.1,28.7,59.1
Heredia (Provincia),334474,57.3,55.6,2.9,42.7,1.3,7.3,20.4,72.3
Heredia,96888,58.9,57,3.2,41.1,1.2,1.2,23,75.8
Barva,31575,57.8,56.4,2.4,42.2,1.2,3.8,19.5,76.7
Santo Domingo,32102,57.1,55.4,2.9,42.9,1.2,2.5,18.6,78.8
Santa Bárbara,21951,55.2,53.3,3.4,44.8,1.3,10.6,18.5,70.9
San Rafael,31868,57.5,55.8,3,42.5,1.2,5.3,17.2,77.5
San Isidro,14681,56,54.6,2.4,44,1.4,17.2,14.1,68.7
Belén,18875,59.1,57.5,2.7,40.9,1.1,1.2,17.7,81.1
Flores,16121,58.9,57.2,2.8,41.1,1.2,1.7,18.2,80.1
San Pablo,22051,57.4,55.8,2.8,42.6,1.2,1.8,20.1,78.1
Sarapiquí,34344,46.4,45.3,2.3,53.6,2.2,29.6,12.9,57.5
Guanacaste (Provincia),211464,47.7,45.9,3.7,52.3,1.9,24.1,16.3,59.6
Liberia,44716,55.7,53.1,4.7,44.3,1.5,6.7,20.6,72.7
Nicoya,26097,50.8,48.9,3.8,49.2,1.7,21.3,17.1,61.7
Santa Cruz,26453,50.4,48.2,4.4,49.6,1.9,18.4,15.7,65.9
Bagaces,14213,45.9,44.6,2.9,54.1,2,26.8,17.4,55.9
Carrillo,21285,48.7,45.9,5.7,51.3,1.9,14.7,13.6,71.7
Cañas,16229,47.4,46.1,2.7,52.6,1.9,18.2,17.7,64.1
Abangares,10688,45.7,44.7,2.2,54.3,2.2,39.1,16.9,44
Tilarán,7291,48.7,47.4,2.7,51.3,2,26.1,14.5,59.4
Nandayure,6706,42.6,41.6,2.3,57.4,2.5,35.2,11.1,53.7
La Cruz,6312,45.2,43.8,3.1,54.8,2.4,32.3,12.6,55.1
Hojancha,5473,45.6,44.6,2.1,54.4,2.3,27.2,14.2,58.7
Puntarenas (Provincia),340499,48.7,47.3,2.9,51.3,1.8,17.5,13.6,68.9
Puntarenas,72346,49.7,47.5,4.4,50.3,1.7,7,18,74.9
Esparza,24504,47,45.4,3.4,53,1.8,17.3,12.3,70.4
Buenos Aires,28644,41.9,41.2,1.6,58.1,2.4,46.1,6.7,47.1
Montes de Oro,9592,45.5,43.3,4.7,54.5,2,12.9,12.9,74.1
Osa,20156,45.6,44.1,3.4,54.4,2.3,26.8,11.4,61.8
Quepos,14998,53.7,52,3.1,46.3,1.9,16.8,16.7,66.5
Golfito,23123,45,43.2,4,55,2.2,27.4,9.5,63.1
Coto Brus,21267,44.9,43.5,3,55.1,2,32,10.5,57.5
Parrita,8922,48.1,47.2,2,51.9,1.9,22.5,13.9,63.6
Corredores,26207,46.1,44.5,3.6,53.9,2.2,39.9,9.7,50.4
Garabito,8740,57.2,53.6,6.3,42.8,1.4,5.7,11.7,82.7
Limón (Provincia),278032,47,45.3,3.6,53,2,10.1,13.8,76
Limón,94057,48.4,46,4.9,51.6,1.8,3.2,12.7,84.1
Pococí,79669,47.7,45.6,4.5,52.3,2.1,17.6,13.5,68.8
Siquirres,31395,43.3,42.1,2.7,56.7,2.3,20.1,14.3,65.6
Talamanca,23048,39.7,39.2,1.2,60.3,2.5,36.8,9.8,53.4
Matina,26200,41.7,40.5,2.9,58.3,2.4,19.7,12.9,67.4
Guácimo,23663,46.5,45.1,3.2,53.5,2.1,25,14.8,60.2
